state,events,target_known,ncei_accepted,footprint_accepted,ncei_unresolved_candidates,footprint_unresolved_candidates,county_context_missing,start_longitude_missing,start_latitude_missing,month_missing,hour_utc_missing,radar_tvs_count_missing,radar_tvs_count_positive,radar_mda_count_missing,radar_mda_count_positive,radar_structure_count_missing,radar_structure_count_positive,radar_max_shear_per_s_missing,radar_max_velocity_difference_knots_missing,radar_max_rotation_velocity_knots_missing,radar_max_reflectivity_dbz_missing,radar_max_vil_kg_m2_missing,warning_active_tornado_count_missing,warning_active_tornado_count_positive,warning_active_severe_count_missing,warning_active_severe_count_positive,warning_tornado_lead_minutes_missing,post_land_developed_fraction_missing,post_land_forest_fraction_missing,post_land_cropland_fraction_missing,post_impervious_mean_percent_missing,post_nlcd_valid_fraction_missing,nlcd_zero_pixel_centers,nlcd_no_valid_class_pixels,area_method_fixed_buffer_of_reported_endpoint_track,area_method_union_of_accepted_footprints,nlcd_complete,nlcd_unavailable,nlcd_failed,nlcd_budget_exceeded,nlcd_not_requested,radar_complete,radar_unavailable,radar_failed,radar_budget_exceeded,radar_not_requested,warnings_complete,warnings_unavailable,warnings_failed,warnings_budget_exceeded,warnings_not_requested
SC,351,0.9914529914529915,0.9487179487179487,0.8490028490028491,0.07977207977207977,0.17663817663817663,0.0,0.0,0.0,0.0,0.0,0.0,0.28774928774928776,0.0,0.6239316239316239,0.0,0.9515669515669516,0.7122507122507122,0.7122507122507122,0.37606837606837606,0.04843304843304843,0.04843304843304843,0.0,0.6353276353276354,0.0,0.4017094017094017,0.3646723646723647,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.150997150997151,0.8490028490028491,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SD,333,0.9009009009009009,0.8888888888888888,0.6096096096096096,0.14114114114114115,0.21021021021021022,0.0,0.0,0.0,0.0,0.0,0.0,0.23723723723723725,0.0,0.6636636636636637,0.0,0.9039039039039038,0.7627627627627628,0.7627627627627628,0.33633633633633636,0.0960960960960961,0.0960960960960961,0.0,0.5285285285285285,0.0,0.5315315315315315,0.47147147147147145,0.03303303303303303,0.03303303303303303,0.03303303303303303,0.03303303303303303,0.03303303303303303,0.03303303303303303,0.03303303303303303,0.39039039039039036,0.6096096096096096,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TN,530,1.0,0.9339622641509434,0.7622641509433963,0.1,0.1641509433962264,0.0,0.0,0.0,0.0,0.0,0.0,0.41132075471698115,0.0,0.8584905660377359,0.0,0.9716981132075472,0.5886792452830188,0.5886792452830188,0.14150943396226415,0.02830188679245283,0.02830188679245283,0.0,0.6188679245283019,0.0,0.4641509433962264,0.38113207547169814,0.0037735849056603774,0.0037735849056603774,0.0037735849056603774,0.0037735849056603774,0.0037735849056603774,0.0037735849056603774,0.0037735849056603774,0.23773584905660378,0.7622641509433963,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TX,1814,0.8665931642778391,0.918412348401323,0.6918412348401323,0.11411245865490628,0.20782800441014332,0.0,0.0,0.0,0.0,0.0,0.0,0.4079382579933848,0.0,0.8269018743109151,0.0,0.9487320837927232,0.5920617420066152,0.5920617420066152,0.1730981256890849,0.051267916207276734,0.051267916207276734,0.0,0.5970231532524807,0.0,0.4807056229327453,0.40297684674751927,0.014884233737596472,0.014884233737596472,0.014884233737596472,0.014884233737596472,0.014884233737596472,0.014884233737596472,0.014884233737596472,0.3081587651598677,0.6918412348401323,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
UT,26,0.6538461538461539,1.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.3076923076923077,0.0,0.7307692307692307,0.9615384615384616,0.9615384615384616,0.6923076923076923,0.2692307692307692,0.2692307692307692,0.0,0.038461538461538464,0.0,0.19230769230769232,0.9615384615384616,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.3076923076923077,0.6923076923076923,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VA,242,1.0,0.9545454545454546,0.768595041322314,0.06611570247933884,0.21487603305785125,0.0,0.0,0.0,0.0,0.0,0.0,0.2231404958677686,0.0,0.6942148760330579,0.0,0.9297520661157025,0.7768595041322314,0.7768595041322314,0.30578512396694213,0.07024793388429752,0.07024793388429752,0.0,0.5785123966942148,0.0,0.3760330578512397,0.4214876033057851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23140495867768596,0.768595041322314,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VI,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VT,9,1.0,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.7777777777777778,1.0,1.0,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.0,0.3333333333333333,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WA,33,0.9696969696969697,1.0,0.5757575757575758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.06060606060606061,0.0,0.7272727272727273,0.9696969696969697,0.9696969696969697,0.9393939393939394,0.2727272727272727,0.2727272727272727,0.0,0.030303030303030304,0.0,0.030303030303030304,0.9696969696969697,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.42424242424242425,0.5757575757575758,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WI,429,0.9883449883449883,0.8881118881118881,0.7995337995337995,0.1888111888111888,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.32400932400932403,0.0,0.703962703962704,0.0,0.9487179487179487,0.675990675990676,0.675990675990676,0.29603729603729606,0.05128205128205128,0.05128205128205128,0.0,0.48717948717948717,0.0,0.5361305361305362,0.5128205128205128,0.016317016317016316,0.016317016317016316,0.016317016317016316,0.016317016317016316,0.016317016317016316,0.016317016317016316,0.016317016317016316,0.20046620046620048,0.7995337995337995,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WV,51,0.9803921568627451,0.9803921568627451,0.803921568627451,0.0392156862745098,0.21568627450980393,0.0,0.0,0.0,0.0,0.0,0.0,0.3137254901960784,0.0,0.6862745098039216,0.0,0.8823529411764706,0.6862745098039216,0.6862745098039216,0.3137254901960784,0.11764705882352941,0.11764705882352941,0.0,0.5098039215686274,0.0,0.47058823529411764,0.49019607843137253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19607843137254902,0.803921568627451,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WY,157,0.7770700636942676,0.9235668789808917,0.5987261146496815,0.08917197452229299,0.10191082802547771,0.0,0.0,0.0,0.0,0.0,0.0,0.25477707006369427,0.0,0.5859872611464968,0.0,0.8535031847133758,0.7452229299363057,0.7452229299363057,0.4140127388535032,0.1464968152866242,0.1464968152866242,0.0,0.4394904458598726,0.0,0.33121019108280253,0.5605095541401274,0.03184713375796178,0.03184713375796178,0.03184713375796178,0.03184713375796178,0.03184713375796178,0.03184713375796178,0.03184713375796178,0.4012738853503185,0.5987261146496815,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
